domain,L,response,predictor,predictor_label,rho,p,n
wolf2,50,temporary,phi,Aridity φ (PET/P),-0.08115548406857198,nan,1426
wolf2,50,temporary,P_mm,Annual P,0.09937118502900619,nan,1426
wolf2,50,temporary,PET_mm,Hamon PET,-0.02135611237763474,nan,1426
wolf2,50,temporary,participation,Overland participation,-0.4326611647507763,nan,1426
wolf2,50,temporary,flow,Mean overland flow,-0.22712856675006565,nan,1426
wolf2,50,temporary,R_index,Overland depth / P,-0.23014389157962295,nan,1426
wolf2,50,temporary,wtd,Baseline WTD,0.13992157801573168,nan,1426
wolf2,50,temporary,recharge,Local recharge,-0.4886224248016289,nan,1426
wolf2,50,temporary,E_proxy,1 − recharge/P,0.6082871535155786,nan,1426
wolf2,50,temporary,dist_km,Dist. to stream,0.07511515904373825,nan,1426
wolf2,50,temporary,log10_k_top,log₁₀ K (top),-0.21743182252821797,nan,1426
wolf2,50,persistent,phi,Aridity φ (PET/P),0.10549305956490133,nan,1426
wolf2,50,persistent,P_mm,Annual P,-0.16388827414888052,nan,1426
wolf2,50,persistent,PET_mm,Hamon PET,0.027172828030668384,nan,1426
wolf2,50,persistent,participation,Overland participation,-0.4753242346754162,nan,1426
wolf2,50,persistent,flow,Mean overland flow,-0.3612337084486003,nan,1426
wolf2,50,persistent,R_index,Overland depth / P,-0.3523246499029644,nan,1426
wolf2,50,persistent,wtd,Baseline WTD,0.5124181963709206,nan,1426
wolf2,50,persistent,recharge,Local recharge,-0.3092438342692205,nan,1426
wolf2,50,persistent,E_proxy,1 − recharge/P,0.3085626148606975,nan,1426
wolf2,50,persistent,dist_km,Dist. to stream,-0.18146828951131697,nan,1426
wolf2,50,persistent,log10_k_top,log₁₀ K (top),-0.29819320511439085,nan,1426
