huc8,site_id,i,j,sim_m3s,obs_lt,drain
05020001,03055000,3621,1735,52.687353287234984,,948.0
05020001,03056000,3616,1744,64.00734506362062,72.9779482791732,1187.0
05020001,03056250,3618,1748,6.483885655336991,5.385693364330602,96.7
05020001,03056500,3614,1747,71.34607203056797,,1305.0
05020001,03057000,3602,1755,74.72076309034489,81.32851207146132,1367.0
05020004,03063500,3669,1696,3.1932070075313654,,36.4
05020004,03063600,3666,1710,4.506141191568474,,6.25
05020004,03064000,3660,1707,2.7013109488920977,,46.4
05020004,03064500,3655,1711,2.6105335512131673,,40.7
05020004,03065000,3654,1726,33.43173628668795,23.735457529870487,347.0
05020004,03065050,3671,1726,1.428793599040781,0.5832759263536983,9.65
05020004,03065200,3672,1727,1.7683576873742695,1.0225296385583695,18.6
05020004,03065400,3669,1737,5.295813623232474,4.094203632053138,54.9
05020004,03065500,3669,1736,6.180786185796827,,59.1
05020004,03066000,3667,1735,6.6440462648133325,6.220339336139531,86.1
05020004,03066630,3660,1734,8.3005103041708,,1.2
05020004,03066720,3661,1728,3.9683020901455306,,1.39
05020004,03066730,3661,1728,3.9683020901455306,,1.11
05020004,03067510,3641,1678,4.328271016883986,5.0349016734507615,60.1
05020004,03068000,3651,1695,6.704616669743978,,114.0
05020004,03068500,3651,1700,6.961260198385135,,123.0
05020004,03068600,3652,1706,8.068623931929817,,136.0
05020004,03068604,3651,1707,8.068623931929817,,1.11
05020004,03068607,3651,1707,8.068623931929817,,1.53
05020004,03068610,3651,1707,8.068623931929817,,5.1
05020004,03068800,3646,1706,8.838223657790804,12.729108600332248,150.0
05020004,03069000,3647,1728,13.088321685498133,15.487969621621895,213.0
05020004,03069500,3649,1730,47.79718865804161,52.76988285499122,718.0
05020004,03069880,3642,1749,59.45719711687134,,12.4
05020004,03070000,3643,1754,67.59770643270105,75.21548602955657,936.0
05020004,0307020015,3643,1754,67.59770643270105,70.85613717664279,971.0
05020004,03070260,3643,1770,76.28923142129037,76.73802483294504,1046.0
05020004,03070310,3642,1775,12.283147642207002,,0.57
05020004,03070350,3632,1779,92.17721292362175,87.49777413671822,1128.0
05020004,03070415,3642,1802,0.1531807988664003,,2.5
05020004,03070420,3643,1799,0.03265813461813683,0.06514977403192401,0.93
05020004,03070455,3637,1797,2.253182122373089,,7.44
05020004,03070500,3635,1783,12.01789092408605,12.213370842448764,200.0
05020004,03071000,3629,1780,93.6546511944639,,1353.0
05020004,03071500,3621,1784,95.22172970373575,,1375.0
05050001,03161000,3564,1411,13.621780528765683,12.87496435631566,205.0
05050001,03161500,3566,1427,21.735210901186644,,325.0
05050001,03163000,3590,1439,62.693971083921305,,1004.0
05050001,03164000,3596,1444,70.28987641884613,56.428458716969146,1141.0
05050001,03164500,3595,1458,76.5075595238605,,1174.0
05050001,03165000,3604,1445,2.8695455627204316,2.094806184629331,39.4
05050001,03165500,3593,1466,82.18962379454044,62.80417764217394,1350.0
05050001,03166000,3590,1468,7.844692881066505,,136.0
05050001,03166800,3597,1477,14.550025165643186,0.024712602239439007,7.15
05050001,03167000,3597,1478,14.62958814223644,7.570346498646564,258.0
05050001,03167500,3611,1475,18.516980622558087,12.678253945018936,267.0
05050001,03168000,3609,1480,133.20033105247,93.7672795401011,2212.0
05050001,03168500,3603,1491,2.3520190442399547,,60.8
05050001,03169500,3627,1489,14.86849093749041,,250.0
05050001,03170000,3623,1493,15.810319714902596,10.64298822778361,300.0
05050001,03171000,3619,1505,159.69921097187293,114.1566599172027,2767.0
05050002,03171500,3612,1520,169.3648555684363,,2961.0
05050002,03172500,3605,1513,13.972846530365992,,275.0
05050002,03173000,3605,1515,15.55425454766994,9.518418404218895,299.0
05050002,03175100,3545,1493,0.23184661892189362,0.13014375629672242,1.9
05050002,03175140,3552,1497,3.0140587366457443,,4.68
05050002,03175500,3592,1518,13.071670669296944,8.808550425227333,223.0
05050002,03176400,3594,1528,2.3396195028045343,,50.4
05050002,03176500,3591,1525,221.69849570461471,148.49171380065872,3770.0
05050002,03177120,3588,1522,6.211947476492875,2.106362864529131,73.1
05050002,03177480,3594,1542,9.52436723932476,4.291476202876024,158.0
05050002,03177500,3590,1542,10.595376319216149,,191.0
05050002,03177700,3556,1503,1.5216460384721948,,39.7
05050002,03177710,3554,1506,2.7685070357635855,1.9015366702774799,44.3
05050002,03178000,3567,1527,11.796993370442031,6.984627942305186,199.0
05050002,03178500,3561,1537,13.465660970837584,,31.4
05050002,03179000,3573,1540,18.78099704279184,14.026649676977012,395.0
05050002,03179500,3576,1545,20.39684128928699,,439.0
05050002,03180000,3582,1552,261.0023963202259,,4622.0
05060001,03217424,3296,1829,6.13057417728496,,160.0
05060001,03217500,3317,1825,11.213887565282677,8.822709994445466,257.0
05060001,03218000,3334,1834,2.343368394924971,,72.4
05060001,03218500,3333,1829,2.52956491096486,,85.8
05060001,03219000,3332,1828,2.725077086883486,,93.3
05060001,03219500,3335,1812,22.573699804591755,17.73937988260598,567.0
05060001,03219590,3339,1801,29.76025887850677,2.2337594792226962,83.2
05060001,03219600,3340,1801,29.370577672543476,,0.12
05060001,03219781,3323,1791,2.595211610630895,,74.1
05060001,03220000,3338,1794,5.430085697832677,5.907075853845874,178.0
05060001,03221000,3347,1782,38.0738133414933,31.389608560849688,980.0
05060001,03221646,3354,1767,40.728542618265784,36.13117214496234,1050.0
05060001,03222500,3352,1851,0.5875492166744546,,49.4
05060001,03223000,3349,1832,3.901288991837965,5.0842419311503955,157.0
05060001,03223425,3361,1829,0.5802513064351597,1.3091711812506568,37.9
05060001,03223500,3355,1820,0.3625833946686586,,61.8
05060001,03224000,3354,1824,0.15016135756697477,,25.4
05060001,03224500,3353,1818,2.5543030558277517,,98.7
05060001,03225500,3347,1807,11.607168139320164,12.793255070775196,393.0
05060001,03226000,3348,1801,12.354730298255237,,421.0
05060001,03226500,3349,1796,13.1477339984879,,445.0
05060001,03226800,3354,1781,14.87163965990407,17.049607184910798,497.0
05060001,03226865,3360,1783,5.399971131919689,,1.65
05060001,03226870,3354,1777,15.178673192793635,,2.03
05060001,03226872,3355,1777,15.38586529860656,,2.5
05060001,03226875,3355,1776,15.53679920221753,,0.22
05060001,03226885,3356,1774,15.590817354780203,,518.0
05060001,03227107,3357,1769,16.29709678237148,21.53416327313827,533.0
05060001,03227200,3356,1765,58.33442823104252,,1613.0
05060001,03227500,3360,1760,59.0607431306388,,1629.0
05060001,03228000,3359,1763,16.730326284350067,,11.0
05060001,03228300,3365,1794,2.9870255890184056,,101.0
05060001,03228500,3366,1782,6.001018764051454,,190.0
05060001,03228560,3366,1774,2.200274986562995,,28.2
05060001,03228689,3376,1764,0.4972607404989966,,46.0
05060001,03228750,3357,1806,2.3287069532603795,2.305798328620674,64.9
05060001,03228805,3359,1789,4.411283672123006,3.2812100632939463,122.0
05060001,03229000,3365,1764,13.657818110075809,5.827700088692823,189.0
05060001,03229500,3365,1755,21.93968640685576,15.854601373116285,544.0
05060001,03229610,3363,1746,84.90012875040158,80.73560572244163,2272.0
05060001,03229796,3366,1740,9.193114921745423,9.21581261179891,274.0
05060001,03230000,3369,1730,96.60989970702178,,2638.0
05060001,03230310,3337,1761,2.9400577593521318,5.189060930094533,162.0
05060001,03230427,3343,1757,13.366926672530182,,12.2
05060001,03230450,3348,1750,17.95833592991509,1.173788422892705,35.8
05060001,03230500,3356,1735,19.763590482601312,16.53186030592795,534.0
05070201,03212558,3545,1512,0.09317106281063532,,1.38
05070201,03212567,3540,1505,0.020922886359045302,,0.33
05070201,03212580,3533,1511,3.5857692082224046,,1.78
05070201,03212585,3532,1512,3.5857692082224046,,1.24
05070201,03212600,3526,1517,4.942652079557973,,85.8
05070201,03212640,3545,1515,0.047822263044241205,0.16468606030464,0.84
05070201,03212700,3529,1519,4.153085441989344,,69.8
05070201,03212703,3528,1519,4.187463986054641,,0.6
05070201,03212750,3526,1519,10.041802451622424,6.187764236453018,174.0
05070201,03212980,3509,1511,14.077711166297863,6.718405625890396,209.0
05070201,03212985,3510,1514,14.929771085350385,,225.0
05070201,03213000,3504,1520,30.87614595757805,,503.0
05070201,03213495,3506,1517,15.006846943402854,,0.53
05070201,03213500,3505,1518,15.269772514137285,1.0914510853146706,31.0
05070201,03213577,3487,1513,2.3609126849851783,,0.6
05070201,03213590,3487,1512,4.899924989662396,,84.5
05070201,03213594,3480,1519,3.1679628092672583,,1.6
05070201,03213620,3479,1523,46.003693171978426,25.845917317322332,778.0
05070201,03213630,3483,1519,5.665678410914646,,0.82
05070201,03213700,3463,1533,55.07051554733927,33.28460224934419,936.0
05070201,03213800,3462,1546,4.529492385721833,,93.7
05070201,03214000,3451,1547,68.19560283587825,,1188.0
05070201,03214500,3449,1549,72.46043900198998,44.32194333422066,1277.0
05070201,03214900,3437,1564,84.10358641428446,48.57413679090463,1504.0
05070201,03215000,3424,1582,216.19877810973736,,3897.0
05080001,03260325,3288,1810,1.1261623510015821,,15.0
05080001,03260450,3286,1809,0.6332577676979984,,47.5
05080001,03260502,3275,1804,5.830195035712995,4.3375581612444565,99.9
05080001,03260600,3275,1804,5.830195035712995,3.959816399101544,131.0
05080001,03260700,3281,1790,12.88618545800027,1.3648942324585696,36.3
05080001,03260706,3278,1789,3.411108387326797,1.5178661713140833,40.4
05080001,03260800,3281,1786,3.411108387326797,,59.1
05080001,03261000,3275,1789,17.78853027170583,,405.0
05080001,03261500,3260,1785,22.224451543822006,17.879957300096844,541.0
05080001,03261890,3241,1789,0.9219569656532647,3.539929398925098,81.2
05080001,03261950,3241,1784,2.874626633564486,4.8325640239286916,152.0
05080001,03262000,3253,1776,7.8069529268106965,7.984639884529142,257.0
05080001,03262500,3256,1768,32.60679448834512,30.274815901252907,866.0
05080001,03262700,3261,1755,36.81440144005603,30.360734973750226,926.0
05080001,03263000,3267,1739,44.15360204397183,38.41883315692192,1149.0
05080001,03263500,3227,1761,4.242649205063364,,142.0
05080001,03264000,3241,1761,6.051920035595852,6.543098062430283,193.0
05080001,03264500,3243,1764,17.79352426238302,,437.0
05080001,03265000,3248,1756,18.523819297711935,15.812650211696742,503.0
