domain,L,metric,kind,covar,covar_label,rho,p,n
potomac2,3,WTD,persistent,local_recharge_base,Local recharge (base),0.12773694808280042,1.1710990317402925e-14,3615
potomac2,3,WTD,persistent,PME_static,Static PME,-0.05921419964153243,0.0003667292167919282,3615
potomac2,3,WTD,persistent,porosity_col,Porosity (col.),-0.03836717584063298,0.02105501422453142,3615
potomac2,3,WTD,persistent,log10_K_col,log₁₀ K (col.),-0.00218395386704796,0.8955730708826458,3615
potomac2,3,WTD,persistent,log10_K_top,log₁₀ K (top),-0.21012780250026666,1.2733005424001642e-37,3615
potomac2,3,WTD,persistent,flowbarrier_min,Flow barrier (min),-0.014177724507021748,0.3941379683425731,3615
potomac2,3,WTD,persistent,sand_frac,Sand fraction,0.047180286850979344,0.004589833769184447,3607
potomac2,3,WTD,persistent,clay_frac,Clay fraction,-0.044797264830023685,0.00712104690375226,3607
potomac2,3,WTD,persistent,mannings,Mannings,0.1417401766623557,9.795904684193622e-18,3615
potomac2,10,storage,temporary,dist_to_stream,Dist. to stream,0.05712965973559435,0.0005897637564105351,3613
potomac2,10,storage,temporary,HAND,HAND,-0.11053520417661518,2.5831646467585832e-11,3613
potomac2,10,storage,temporary,rel_elev,Rel. elevation,-0.1234390750110688,9.011239687335921e-14,3613
potomac2,10,storage,temporary,slope_mag,Slope,-0.06225685978535555,0.0001793351152760397,3615
potomac2,10,storage,temporary,baseline_WTD,Baseline WTD,-0.004124981144596312,0.8042021625302944,3615
potomac2,10,storage,temporary,local_recharge_base,Local recharge (base),-0.07385382616401928,8.719733655879874e-06,3615
potomac2,10,storage,temporary,recharge_anom_rec1_10yr,"Δ recharge (rec. yr1, 10yr)",0.7565428969654581,0.0,3615
potomac2,10,storage,temporary,PME_static,Static PME,-0.06401022156437983,0.00011702497772034882,3615
potomac2,10,storage,temporary,porosity_col,Porosity (col.),0.3465959709515322,1.0607793001912046e-104,3615
potomac2,10,storage,temporary,log10_K_col,log₁₀ K (col.),0.028254177740713066,0.08940856657515794,3615
potomac2,10,storage,temporary,log10_K_top,log₁₀ K (top),-0.18506332504647274,2.2655628979618825e-29,3615
potomac2,10,storage,temporary,flowbarrier_min,Flow barrier (min),0.01906589761140366,0.2517960897921018,3615
potomac2,10,storage,temporary,sand_frac,Sand fraction,-0.07244735360023996,1.3192430525793821e-05,3607
potomac2,10,storage,temporary,clay_frac,Clay fraction,0.017990507664147948,0.2800769390342001,3607
potomac2,10,storage,temporary,mannings,Mannings,0.012669158347004496,0.44638468786268237,3615
potomac2,10,storage,persistent,dist_to_stream,Dist. to stream,-0.23248533006996358,6.085963898655432e-46,3613
potomac2,10,storage,persistent,HAND,HAND,-0.09974008434920574,1.8245577381646455e-09,3613
potomac2,10,storage,persistent,rel_elev,Rel. elevation,-0.11602271193658067,2.5132849030281434e-12,3613
potomac2,10,storage,persistent,slope_mag,Slope,-0.1236348923962271,8.101717545284749e-14,3615
potomac2,10,storage,persistent,baseline_WTD,Baseline WTD,-0.0584437985316449,0.00043731817434019247,3615
potomac2,10,storage,persistent,local_recharge_base,Local recharge (base),-0.14103257474070682,1.4269559493728097e-17,3615
potomac2,10,storage,persistent,recharge_anom_rec1_10yr,"Δ recharge (rec. yr1, 10yr)",0.49744966249868855,4.348242569763174e-236,3615
potomac2,10,storage,persistent,PME_static,Static PME,-0.23213805128470658,7.884688449648711e-46,3615
potomac2,10,storage,persistent,porosity_col,Porosity (col.),0.2388613476996184,1.5999759273412657e-48,3615
potomac2,10,storage,persistent,log10_K_col,log₁₀ K (col.),0.3343550814873496,5.56568094546324e-97,3615
potomac2,10,storage,persistent,log10_K_top,log₁₀ K (top),-0.36331616362932184,7.332703187037579e-116,3615
potomac2,10,storage,persistent,flowbarrier_min,Flow barrier (min),-0.056486826334248806,0.0006776359364849415,3615
potomac2,10,storage,persistent,sand_frac,Sand fraction,-0.06664058022560011,6.16007100010361e-05,3607
potomac2,10,storage,persistent,clay_frac,Clay fraction,-0.008197742262049602,0.6226141966455363,3607
potomac2,10,storage,persistent,mannings,Mannings,0.011453574881917875,0.4912078486528766,3615
potomac2,10,WTD,temporary,dist_to_stream,Dist. to stream,0.28313911482373333,1.7156668760806663e-68,3613
potomac2,10,WTD,temporary,HAND,HAND,-0.21254401294001846,1.8575030886294202e-38,3613
potomac2,10,WTD,temporary,rel_elev,Rel. elevation,-0.24244284323425228,5.758136238420231e-50,3613
potomac2,10,WTD,temporary,slope_mag,Slope,-0.28785564344594705,6.675153024388516e-71,3615
potomac2,10,WTD,temporary,baseline_WTD,Baseline WTD,-0.28085831245462944,2.1273563948190102e-67,3615
potomac2,10,WTD,temporary,local_recharge_base,Local recharge (base),-0.16157974859841076,1.1622091919834881e-22,3615
potomac2,10,WTD,temporary,recharge_anom_rec1_10yr,"Δ recharge (rec. yr1, 10yr)",0.13106198561427446,2.3299625942869865e-15,3615
potomac2,10,WTD,temporary,PME_static,Static PME,0.010325784493003063,0.5348622828111759,3615
potomac2,10,WTD,temporary,porosity_col,Porosity (col.),0.13150344032500202,1.8744366170255814e-15,3615
potomac2,10,WTD,temporary,log10_K_col,log₁₀ K (col.),0.11162098028347106,1.6226699288896958e-11,3615
potomac2,10,WTD,temporary,log10_K_top,log₁₀ K (top),0.05054772191669621,0.0023618159847270267,3615
potomac2,10,WTD,temporary,flowbarrier_min,Flow barrier (min),0.3740195027513801,2.1553619273062364e-123,3615
potomac2,10,WTD,temporary,sand_frac,Sand fraction,0.0630857472556868,0.00014926847751453514,3607
potomac2,10,WTD,temporary,clay_frac,Clay fraction,0.03925008994524172,0.018397240721409316,3607
potomac2,10,WTD,temporary,mannings,Mannings,-0.016555352556067278,0.31970405512599565,3615
potomac2,10,WTD,persistent,dist_to_stream,Dist. to stream,-0.01796729064131216,0.28029812804122695,3613
